,Label	Tweet
60,Non_HS	Some people gabisa bedain kasar sama tegas. #DebatFinalPilkadaJKT
61,Non_HS	Beliau para pemimpin hebat Indonesia! Kita bangga https:\/\/t.co\/NAWbps9Xpt https:\/\/t.co\/5cC2U9AIEv
62,Non_HS	@InformasiDKI mungkin bu silvy jg pengen foto sama pak ahok hihihi #DebatFinalPilkadaJKT
63,Non_HS	#DebatFinalPilkadaJKT Mulai saling serang deh
64,Non_HS	RT @InaKinoy: baca ini dulu lah biar mendinginkan suasana #DebatFinalPilkadaJKT https:\/\/t.co\/Em9GCKc4qe
65,Non_HS	ayo berlomba program jgn pitnah doank.. #DebatFinalPilkadaJKT #BadjaPastimenang
66,Non_HS	RT @qronoz: Pokoknya kalo Ahok udah ngomong: Aduuuuuuh KELAR. #DebatFinalPilkadaJKT
67,Non_HS	Senjata makan tuan #DebatFinalPilkadaJKT #DebatFinalDKI
68,Non_HS	Ahok kekerasan verbal? Masa koruptor dielus2 #DebatFinalPilkadaJKT
69,Non_HS	RT @qronoz: Gak ada program yang mau diserang yang diserang karakternya. AHaY! \ud83d\ude02 #DebatFinalPilkadaJKT
70,Non_HS	Terkait Jakarta tak Ramah anak apa tanggapan Pak @aniesbaswedan https:\/\/t.co\/ufA55UWBcI
71,Non_HS	emang OK OCE anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja #DebatFinalPilkadaJKT https:\/\/t.co\/BrCeCZSkux
72,Non_HS	Suporternya mulai kampungan paslon masih ngomong jg ...... #DebatFinalPilkadaJKT
73,Non_HS	Mulai seru ni #DebatFinalPilkadaJKT
74,Non_HS	#DebatFinalPilkadaJKT nangis nangis ketonjok lagi
75,Non_HS	RT @Kafyonaa: JADI DEBAT TERAKHIR NANTI MALAM PILIHANMU JATUH KE PASLON YANG MANA? #DebatFinalPilkadaJKT #Debat3PilkadaDKI
76,Non_HS	RT @magendajuang: Wkwkwk udah dah pilih Anies Sandi aja :) #DebatFinalPilkadaJKT https:\/\/t.co\/hMXhjyHBnJ
77,Non_HS	fitnah lebih kejam loh dari pembunuhan #DebatFinalPilkadaJKT
78,Non_HS	mari #debatsehat. jangan coba pakai #datasesat. #DebatFinalPilkadaJKT #DebatFinalDiKompasTV
79,"Non_HS	""RT @prastow: Apapun itu, keberanian Ahok membongkar mafia anggaran menjadi tonggak penting menuju APBD yg kredibel dan akuntabel."""
80,Non_HS	RT @SydSalesman: inilah wujud nasional-is-me dagangannya @pandji ... hebat! https:\/\/t.co\/0fYIG6c2xl
81,Non_HS	Pak dosen makin keliatan aslinya :(
82,Non_HS	RT @gabriellaanDini: Dulu di awal kampanye bukannya uda deklarasi anti SARA??? Tadinya gw pikir no.3 lebih mending dari no.1
83,Non_HS	#DebatFinalPilkadaJKT mateng mpok Silvy di bombardir Pak Ahok... jawaban cerdas Pak Ahok..
84,Non_HS	#DebatFinalPilkadaJKT mohon tenang
85,Non_HS	Yg no.1 nih ngomongin hal yg di luar program mulu ya. Ngga ada bhan ya bwt serang lawan.. Cape dehh! #DebatFinalDKI #DebatFinalPilkadaJKT
86,Non_HS	Cinta pak Ahok pokoknya #DebatFinalPilkadaJKT
87,Non_HS	#DebatFinalPilkadaJKT nggak cuma ibu2 yang pengen foto sama Ahok bapak2 juga lho
88,Non_HS	Mas Agus saya akui malam ini....rambut kamu bagus! #DebatFinalPilkadaJKT
89,Non_HS	RT @republikaonline: Ahok Janji Berani Tutup Tempat Hiburan Malam yang Jual Narkoba
90,Non_HS	Agus-Sylvi sisipkan bahasa jawa saat debat https:\/\/t.co\/fGTfXgaINx
91,"Non_HS	""RT @hariadhi: Ahok udah perhatikan penyandang disabilitas, jauuuh sebelum kandidat lain berjanji #NobarAhokDjarot #BadjaPastiJuara"""
92,Non_HS	Ahok keren!!! #DebatFinalPilkadaJKT
93,Non_HS	Gimana ya Tim Ahok kok makin disudutkan(?) Mungkin karena ini final kali y
94,Non_HS	Nih fakta buat yg asbun. #BadjaPastimenang #DebatFinalPilkadaJKT
95,Non_HS	Siap-siap meme CCTV. #DebatFinalPilkadaJKT #Debat3PilkadaDKI #DebatFinalDKI
96,Non_HS	Nyinyir tingkat nasional #DebatFinalPilkadaJKT
97,Non_HS	Drama bgt itu :(( #DebatFinalPilkadaJKT
98,Non_HS	Ini judulnya Debat atau nyerang paslon 2 ?????? #DebatFinalPilkadaJKT
99,Non_HS	Lha kok menyerang gitu ya #DebatFinalPilkadaJKT
100,Non_HS	Debat sama berantem beda tipis #DebatFinalPilkadaJKT
101,Non_HS	Orang tegas dibilang maki-maki orang -_- #DebatFinalPilkadaJKT
102,Non_HS	1 atau 2 perempuan berbeda dengan kaum perempuan #DebatFinalPilkadaJK
103,Non_HS	mantap OK OCE anies sandi dalam mengatasi urbanisasi dan lapangan kerja
104,Non_HS	RT @WisnuDewobroto: Ga seru nih. selalu mengungkit masa lalu :). kekerasan Verbal semua pernah lakukan manusia biasa. #DebatFinalPilkadaJKT
105,Non_HS	satu perempuan bukan semua perempuan #DebatFinalPilkadaJKT
106,Non_HS	#DebatFinalPilkadaJKT Pertanyaan paslon 1 dpt dikategorikan sbg kekerasan dalam debat.
107,Non_HS	@jokowi pak maafkan saya. Biarkan malam ini saja saya memposting ujaran kebencian. Hanya malam ini saja pak xoxo #DebatFinalPilkadaJKT
108,Non_HS	Semoga Allah memenangkan pak Anies-sandi https:\/\/t.co\/sns0rXRw3f
109,Non_HS	#DebatFinalPilkadaJKT non muslim coblos Ahok muslim coblos Djarot. Bagaimana?
110,Non_HS	#DebatFinalPilkadaJKT *pemimpin harus dapat ciptakan suasana damai tentram dan bukan adu domba atau hasutan
111,Non_HS	Saya bertanya kepada Bapak Presiden dan Kapolri OK OCE tuh apaan? #DebatFinalPilkadaJKT
112,Non_HS	Keliatan banget keberpihakan media #DebatFinalPilkadaJKT
113,Non_HS	RT @di_HatiKecil: Bagus nih ilustrasinya #DebatFinalPilkadaJKT https:\/\/t.co\/zAQLqrBiUF
114,Non_HS	RT @rezaoktovian: Ahok terlalu keren :')
115,Non_HS	isinya timeline twitter cm pilkada.. membosankan sekali..
116,Non_HS	Mohon tenang mohon tenang #DebatFinalPilkadaJKT
117,Non_HS	ah diulang. Jawabannya bisa beda kan? #DebatFinalPilkadaJKT
118,Non_HS	Perasaan bukan pertanyaan itu deh yg td dijawab om @aniesbaswedan audionya ga keluar atau ia ya? #DebatFinalPilkadaJKT
119,Non_HS	Boleh tinggal di pinggir kali meski bukan tanahnya boleh jualan di pinggir jalan
120,Non_HS	RT @rigenz123: Sehatkan Warga DKI Melalui #JakartaBerlari Barulah Pembangunan Dapat Sejahterakan Warganya. #DebatFinalPilkadaJKT
121,Non_HS	kalau kamu diputuskan pacar tanpa sebab mungkin program OKE OCE bisa jadi solusi nya #DebatFinalPilkadaJKT
122,Non_HS	Melibatkan yang paham pada bidangnya untuk duduk bersama memecahkan solusi. Cara kepemimpinan yg cerdas ! #DebatFinalPilkadaJKT
123,Non_HS	Justru laki-laki lah yang sering mengalami kekerasan verbal. Berapa kali dirimu dimarahi istrimu..? Ayo ngaku.
124,Non_HS	RT @TirtoID: Soal gerakan-gerakan ala @aniesbaswedan #PeriksaData #DebatFinalPilkadaJKT
125,Non_HS	Mayoritas warga Jakarta ingin dipimpin Gubernur baru. Emang iya? #DebatFinalPilkadaJKT
126,Non_HS	Paslon 1 selalu nyerang paslon 2 ni #DebatFinalPilkadaJKT
127,Non_HS	RT @JktMajuBersama: Upaya Anies-Sandi untuk mendukung perempuan menjadi pelaku UKM :) #DebatFinalPilkadaJKT
128,Non_HS	Salah satu indikator meningkatnya kualitas hidup warga Jkt adl terus bisa tersenyum seperti Pak Djarot malam ini
129,Non_HS	Tontonan yg wajib ditunggu sehabis #DebatFinalPilkadaJKT
130,"Non_HS	""RT @ainouun: Pak Ahok : penyandang disabilitas bukan hanya mereka, suatu saat kita juga bisa jadi. #DebatFinalPilkadaJKT"""
131,"Non_HS	""RT @tribunjateng: Saat Jeda, Ahok dan Djarot Sapa Ganjar Pranowo dari Atas Panggung"""
132,Non_HS	@Boojaee sayang hyung cuma pencitraan :* wkwk
133,"Non_HS	""@kurawa Msh inget sm ibu penjual kue di balaikota, cm Pak Ahok yg tau klo si ibu sakit, ibu itu langsung diurus ke rs. Ini bukan pencitraan."
134,Non_HS	Biar jajan naik sejuta https://t.co/veZ5PXxDfr
135,Non_HS	bio gw belum diganti astagfirullah rusak pencitraan cewe cantik
136,Non_HS	#MataNajwaDebatJakarta Ya ampun udh closing statement msh aja commentnya ky gitu ya
137,Non_HS	Hah uda closing statement?? Cepet bener?? #DebatFinalPilkadaJKT
138,Non_HS	RT @digembok: #DebatFinalPilkadaJKT kali ini keren.Biasanya ada sesi tanya-jawab Kali ini ada SESI CURHAT
139,Non_HS	Ketiga paslon gagal menjawab pertanyaan yang jawabannya harus memuji kebaikan paslon lain
140,Non_HS	Mari berjuang bersama SBYudhoyono utk memenangkan #SaduddinDhani di #PilkadaKabBekasi2017 #BekasiSAH #BekasiBerjaya
141,"Non_HS	""Jikapun aparatur bisa dibeli, kyai dan santri oplosan dibeli. Masih ada yng ASLI, siap MELAWAN KETIDAKADILAN https://t.co/riloAH9gAd"""
142,Non_HS	Pasangan mana yang unggul dalam debat kandidat Gubernur-Wagub DKI Jakarta Malam Ini?
143,"Non_HS	""Keberagaman itu datang dr hati terdalam, bukan dr pencitraan #Tetap3 #JKTBeragam"""
144,"Non_HS	""Membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja ,tanpa teruji lewat rekam jejak dan integritas tokohnya"""
145,"Non_HS	""RT @adelladellaide: Bersikap baik dan menjaga prilaku di depan umum bukan berarti pencitraan, bukan pula """"menjadi orang lain""""."""
146,"Non_HS	""RT @FiersaBesari: Saat jujur, ada yg curiga. Saat berbuat baik, ada yg menuduh pencitraan. Saat bahagia, ada yg iri. Abaikan."""
147,"Non_HS	""Umat Islam yg peduli agama mrk, tentu tdk akan tergoda dg trik2 konyol seperti ini, InshaAllah umat Islam sdh sadar https://t.co/PFH1MPsKFO"""
148,"Non_HS	""#AniesIntoleran \nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8"""
149,Non_HS	@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.
150,"Non_HS	""@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?"""
151,"Non_HS	""@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, mksd gw apa nyambungnya sama ahok?"""
152,Non_HS	@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?
153,"Non_HS	""@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??"""
154,"Non_HS	""Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26"""
155,"Non_HS	""Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI melalui @YouTube"""
156,Non_HS	Hehhee.. Makanya jangan mengagumi sesorng berlebihan.. Kecuali kepada Rasulullah.. https://t.co/ZXVB2DiRMg
157,Non_HS	#MataNajwaDebatJakarta acara uda abis menurut kalian debat sapa yang betul-betul memaparkan prog dan solusi?
158,Non_HS	Mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... https://t.co/oj5YN3WBeI
159,Non_HS	RT @99Ohhani: Woww dukungan Rakyat Palestina ke Ahok yg dituduhSbg penista Agama ?? mrk Mengelu2kan Ahok !!!Ahok is The Best https://t.co/
160,Non_HS	Pencitraan di socmed itu boleh-boleh aja. Tapi harus bisa tanggung jawab sama citra yang udh dibikin. Jangan sampe jadi malu-maluin. Kasian.
161,Non_HS	RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan ke Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN
162,Non_HS	RT @kv_kahfi: Komplit bgt yaaaa..... Heran nya msh aja yg percaya dan idolain dia https://t.co/PNTYRAnaJO
163,Non_HS	RT @m0th3rb04rd__: bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjara\n #BerjamaahTolakReklamasi
164,"Non_HS	""RT @TeddyGusnaidi: Bro.. Kalau yg dimaksud Fatwa Penista agama, MUI gak pernah mengeluarkan Fatwa. https://t.co/x9uXhqJKCa"""
165,Non_HS	RT @TeddyGusnaidi: Sidang hari ini makin menguatkan bahwa Ahok bukan penista agama.. Ada yang bisa bantah?? \nhttps://t.co/2Ksj4snR1t
166,"Non_HS	""Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG"""
167,"Non_HS	""Yg melakukan Penista Agama sesungguhnya, agama yg suci digunakan alat untuk mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS"""
168,"Non_HS	""Kalah di Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt"""
169,Non_HS	#MataNajwaDebatJakarta Bravo closing statement Anies malam ini.kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka.
170,"Non_HS	""#MataNajwaDebatJakarta jawaban terakhir Anis jadi bikin ingat jawaban dia pas debat kemarin, """"jawaban anda menarik tapi tidak nyambung"""""""
171,"Non_HS	""#MataNajwaDebatJakarta buzzer ahok lagi kerja keras nih,.ayo kerja2 tar gajian ga turun"""
172,Non_HS	#MataNajwaDebatJakarta kerendahan hati dan lawan kerendahan hati kelihatan banget..
173,Non_HS	#MataNajwaDebatJakarta kok gaya pak @aniesbaswedan kayak SBY ya?
174,"Non_HS	""#MataNajwaDebatJakarta kenyataannya si anis nyaman bgt dgn isu sara kok , kan nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,"""
175,Non_HS	#MataNajwaDebatJakarta nyesel liat debat tidak bermutu cuma bisa mencela..
176,Non_HS	#MataNajwaDebatJakarta.kesimpulan: Saya tdk rela punya Gub seorg Anies dan sy percaya Ahok akan menang. Salam 2 jari.
177,Non_HS	@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta
178,Non_HS	Ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #MataNajwaDebatJakarta
179,"Non_HS	""#MataNajwaDebatJakarta p ahok apapun hanya Utk rakyat, p anies tkt dicurangi... Ngerti bedanya.."""
180,"Non_HS	""@MataNajwa mantapppp Mata Najwa diskusi lebih hidup dan mendidik,,, jauh berkualitas di banding debat yg selenggarakan KPU"""
181,"Non_HS	""@MataNajwa mbak najwa..ayo """"ketengah"""" lagi sedikit..jgn terlihat ke kiri, dgn meminta terus pak anies cpt2 menyelesaikan kalimat2nya.."""
182,"Non_HS	""Dan soal soal ribut-ribut pribumi vs non pribumi yang ramai di beranda saya itu, sebenarnya maksudnya apa? ikut..."""
183,"Non_HS	""Sedih liat pak anies saat ini, tokoh yang dulu saya kagumi kenapa jadi seperti ini ;') #MataNajwaDebatJakarta"""
184,Non_HS	Awal sp akhir @aniesbaswedan bisanya cm serang pribadi @basuki_btp gak ada program yg perlu dibanggakan #MataNajwaDebatJakarta
185,Non_HS	Gimana nih om @pandji pasti ikut gedeg juga kan dengerin retorika ga ada wawasan. Tapi gimana udah terlanjur ya. #matanajwadebatjakarta
186,Non_HS	Haduhhhh Pak Anies.. Terus pendukung anda yang didatengin ke Jakarta itu dari mana pak? Dari luar jakarta kan #MataNajwaDebatJakarta
187,Non_HS	Haha anies pendemo2 dr jawa barat kok ga ngomen. Takut kalah ya haha #MataNajwaDebatJakarta
188,Non_HS	#MataNajwaDebatJakarta pak uno habis 62M istrinya ga marah ya pak? Saya mo beli sepatu 300rb aja istri saya marah2 pak
189,"Non_HS	""#MataNajwaDebatJakarta jangan suka menyerang, ini bukan perang,. mengapa ingin ibadah harus menyerang orang.."""
190,"Non_HS	""#MataNajwaDebatJakarta Paslon 3 serang terus dengan membawa2 hal2 yg biasa menyerang, tp Paslon 2 tenang menjawabnya"""
191,"Non_HS	""Aahhh akuh sedih, akuh org depok ternyata ngga boleh ke jakarta pak mANIES jahattttt #MataNajwaDebatJakarta"""
192,"Non_HS	""#MataNajwaDebatJakarta saludd utk mata najwa, berbobot sekali perdebatan malam ini.."""
193,Non_HS	Jadilah orang yang bertanggung jawab atas segala tindakan anda. dengan demikian anda akan menuai hal yang positif. #SidangAhok
194,"Non_HS	""Menurut Anda, apakah #SidangAhok Dugaan Penistaan Agama dgn Terdakwa @basuki_btp murni isyu Pilkada DKI Jakarta atau murni demi Islam???"""
195,Non_HS	Semua kejujuran akan mendapatkan pahala dari surga. Sabar ya Pak Basuki #FreeAhok https://t.co/NlgbEcj4Jc
196,Non_HS	Jadilah orang yang bertanggung jawab atas segala tindakan anda. dengan demikian anda akan menuai hal yang positif. #SidangAhok
197,"Non_HS	""#MataNajwaDebatJakarta terima kasih telah memberikan pendidikan demokrasi pada rakyat Indonesia, khususnya Jakarta."""
198,"Non_HS	""Keberagaman itu datang dr hati terdalam, bukan dr pencitraan #Tetap3 #JKTBeragam"""
199,"Non_HS	""Membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja ,tanpa teruji lewat rekam jejak dan integritas tokohnya"""
200,Non_HS	jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi #important #MataNajwaDebatJakarta
201,"Non_HS	""Jika lo bisa menceritakan kembali kalimat2 yg dilontarkan Anies di @MataNajwa dgn bahasa lo sendiri, lo luar biasa. #MataNajwaDebatJakarta"""
202,"Non_HS	""kalau liat sosmed, Pak Ahok menang telak. Namun sayang, hanya kata-kata manis lah yg diserap bbrp warga kecil. #matanajwadebatjakarta"""
203,Non_HS	Seharusnya mah basuki sudah bebas ya kan? #FreeAhok https://t.co/Mw3k0vYweF
204,"Non_HS	""Kenapa debat @MataNajwa ini, Ahok makin keliatan diatas angin ya. Kliatan dia sangat menguasai problem solusi tata kelola Jakarta."""
205,Non_HS	Kalau lihat Ahok itu kayak lihat power rangers merah
206,Non_HS	Kesimpulan. Ahok spt biasa fokus detail ke program. Anies terlalu fokus menjatuhkan lawan #MataNajwaDebatJakarta
207,"Non_HS	""pertunjukan yang sangat membuat saya serius dan gak mau diganggu, selamat untuk pak @aniesbaswedan buat gagasan nya #MataNajwaDebatJakarta"""
208,Non_HS	Jangan berpihak...melayani rakyat dengan sepenuh hati..Tuhan yang memberi kekuasaan.. Tuhan yang mengambil..-ahok#MataNajwaDebatJakarta
209,Non_HS	Pak Ahok jangan blunder dong Pak..dari tadi udah bagus. Pertanyaannya komitmen menerima hasil kontestasi. #MataNajwaDebatJakarta
210,Non_HS	jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi #important #MataNajwaDebatJakarta
211,"Non_HS	""Jika lo bisa menceritakan kembali kalimat2 yg dilontarkan Anies di @MataNajwa dgn bahasa lo sendiri, lo luar biasa. #MataNajwaDebatJakarta"""
212,"Non_HS	""Kenapa debat @MataNajwa ini, Ahok makin keliatan diatas angin ya. Kliatan dia sangat menguasai problem solusi tata kelola Jakarta."""
213,Non_HS	Kiranya Jakarta semakin baik. Selamat berjuang buat Pak Ahok dan Pak Anies ! #MataNajwaDebatJakarta
214,Non_HS	Masihkah Ahoker debat soal program? Jlebb.. KO kena uppercut Anies soal KJP. Pergubnya blm di rubah.. @roemahdjoeang @NetizenTofa @cepot234
215,Non_HS	RT @alysap_: Semua penganut agama harus dapet hak yang sama - Ahok #MataNajwaDebatJakarta
216,"Non_HS	""Aku heran kenapa ilklan kampanye #AhokDjarot yg terbaru itu begitu, ini aku loh yang bingung bkn akuang,asiang, atau aming #IklanAhokJahat"""
217,Non_HS	Abis nyoblos streaming video perkembangan Pilkada 2017 pake #SisaKuotaGakHangus dari @IM3Ooredoo kuota ga habis deh
218,Non_HS	muslim sedang diuji di negara yg mayoritas Islam..semoga kita smua bisa bersabar dan menahan utk tidak berbicara kasar sbg balasan
219,Non_HS	Kiranya Jakarta semakin baik. Selamat berjuang buat Pak Ahok dan Pak Anies ! #MataNajwaDebatJakarta
220,"Non_HS	""RT @grcllafrn: Pak Anies, inget, apa yg kau tabur itu yang akan kau tuai nanti... jadi takut sendiri :"""") #MataNajwaDebatJakarta"""
